Date,Open,High,Low,Last,Volume,Open Interest
2014-01-16,,617.0,617.0,617.0,0.0,0.0
2014-01-15,,611.0,611.0,611.0,0.0,0.0
2014-01-14,,619.0,619.0,619.0,0.0,0.0
2014-01-13,,612.0,612.0,612.0,0.0,0.0
2014-01-10,,617.0,617.0,617.0,0.0,0.0
2014-01-09,,626.0,626.0,626.0,0.0,0.0
2014-01-08,,625.0,625.0,625.0,0.0,0.0
2014-01-07,,632.0,632.0,632.0,0.0,0.0
2014-01-06,,631.0,631.0,631.0,0.0,0.0
2014-01-03,,629.0,629.0,629.0,0.0,0.0
2014-01-02,,620.0,620.0,620.0,0.0,0.0
2013-12-31,,628.0,628.0,628.0,0.0,0.0
2013-12-30,,627.0,627.0,627.0,0.0,0.0
2013-12-27,,635.0,635.0,635.0,0.0,0.0
2013-12-26,,636.0,636.0,636.0,0.0,0.0
2013-12-24,,638.0,638.0,638.0,0.0,0.0
2013-12-23,,640.0,640.0,640.0,0.0,0.0
2013-12-20,,647.0,647.0,647.0,0.0,0.0
2013-12-19,,644.0,644.0,644.0,0.0,0.0
2013-12-18,,646.0,646.0,646.0,0.0,0.0
2013-12-17,,651.0,651.0,651.0,0.0,0.0
2013-12-16,,655.0,655.0,655.0,0.0,0.0
2013-12-13,,661.0,661.0,661.0,0.0,0.0
2013-12-12,,665.0,665.0,665.0,0.0,0.0
2013-12-11,,670.0,670.0,670.0,0.0,0.0
2013-12-10,,669.0,669.0,669.0,0.0,0.0
2013-12-09,,678.0,678.0,678.0,0.0,0.0
2013-12-06,,677.0,674.0,677.0,0.0,0.0
2013-12-05,,674.0,674.0,674.0,0.0,0.0
2013-12-04,,681.0,681.0,681.0,0.0,0.0
2013-12-03,,688.0,688.0,688.0,0.0,0.0
2013-12-02,,683.0,683.0,683.0,0.0,0.0
2013-11-29,,690.0,690.0,690.0,0.0,0.0
2013-11-27,,688.0,688.0,688.0,0.0,0.0
2013-11-26,,680.0,680.0,680.0,0.0,0.0
2013-11-25,,683.0,683.0,683.0,0.0,0.0
2013-11-22,,681.0,681.0,681.0,0.0,0.0
2013-11-21,,675.0,675.0,675.0,0.0,0.0
2013-11-20,,678.0,678.0,678.0,0.0,0.0
2013-11-19,,681.0,681.0,681.0,0.0,0.0
2013-11-18,,677.0,677.0,677.0,0.0,0.0
2013-11-15,,681.0,681.0,681.0,0.0,0.0
2013-11-14,,686.0,686.0,686.0,0.0,0.0
2013-11-13,,685.0,685.0,685.0,0.0,0.0
2013-11-12,,686.0,686.0,686.0,0.0,0.0
2013-11-11,,689.0,689.0,689.0,0.0,0.0
2013-11-08,,693.0,693.0,693.0,0.0,0.0
2013-11-07,,697.0,697.0,697.0,0.0,0.0
